Object;PlotID;Longitude;Latitude;Mean_reaction;FSB;Number_of_sp
vegetacni_snimek;391751;17.566917;48.871164;6.461538;L;48
vegetacni_snimek;325174;17.596389;48.877222;7;T;45
vegetacni_snimek;381652;16.666667;48.877778;6.533333;L;20
vegetacni_snimek;327591;17.510833;48.877778;7.102564;T;43
vegetacni_snimek;378876;16.66;48.878333;6.628571;L;35
vegetacni_snimek;382432;17.583333;48.883333;6.283333;L;64
vegetacni_snimek;329246;17.595833;48.883333;6.359375;L;71
vegetacni_snimek;325152;17.570278;48.886389;7.170213;L;59
vegetacni_snimek;325151;17.575;48.886944;6.560606;T;80
vegetacni_snimek;383806;17.593056;48.887222;6.285714;L;42
vegetacni_snimek;325176;17.568611;48.888333;6.25;L;30
vegetacni_snimek;325436;15.826389;48.891667;5.896552;L;36
vegetacni_snimek;328169;17.594444;48.891667;6.277778;L;40
vegetacni_snimek;383817;15.819167;48.892222;6.407407;L;28
vegetacni_snimek;383796;17.572778;48.894167;6.404255;L;49
vegetacni_snimek;325153;17.583056;48.894722;6.22449;T;60
vegetacni_snimek;325414;15.822222;48.895833;5.666667;L;41
vegetacni_snimek;329293;17.577778;48.895833;6.803922;L;54
vegetacni_snimek;310546;17.580833;48.896111;6.175;T;42
vegetacni_snimek;310547;17.581111;48.896111;6.163265;T;52
vegetacni_snimek;326690;15.821389;48.896944;5.333333;L;20
vegetacni_snimek;329294;17.582778;48.897222;5.986301;T;81
vegetacni_snimek;294423;17.093333;48.898917;6.166667;L;35
vegetacni_snimek;392863;17.219814;48.904333;4.947368;L;48
vegetacni_snimek;325191;17.571944;48.905833;6.171429;K;43
vegetacni_snimek;317278;17.487222;48.906944;6.703704;L;29
vegetacni_snimek;366772;17.491111;48.911389;6.441176;T;36
vegetacni_snimek;374591;17.488889;48.9125;6.8;T;32
vegetacni_snimek;316081;17.334361;48.923944;6.294118;T;18
vegetacni_snimek;316047;17.300444;48.930694;6.333333;L;9
vegetacni_snimek;373267;16.045278;48.934444;5.416667;L;18
vegetacni_snimek;373273;16.045;48.936111;6.409091;L;28
vegetacni_snimek;373272;16.053333;48.936667;5.555556;L;34
vegetacni_snimek;373337;16.0525;48.936944;6.72;L;32
vegetacni_snimek;326166;16.053333;48.936944;6.969697;L;38
vegetacni_snimek;373274;16.054722;48.938056;5.777778;L;23
vegetacni_snimek;373298;16.040833;48.953611;6.558824;L;39
vegetacni_snimek;373307;16.041111;48.953611;6.703704;L;30
vegetacni_snimek;373271;16.031944;48.953889;5.851852;L;35
vegetacni_snimek;373350;16.039722;48.954167;6.925926;L;31
vegetacni_snimek;373321;16.039444;48.955556;5.962963;L;30
vegetacni_snimek;373351;16.026389;48.960833;5.75;L;9
vegetacni_snimek;314426;17.203056;48.963333;5.3;L;10
vegetacni_snimek;326173;16.761667;48.978056;7.071429;L;34
vegetacni_snimek;373336;16.003889;48.990278;6.538462;L;19
vegetacni_snimek;389513;16.330667;48.996028;4.5;L;5
vegetacni_snimek;389541;16.344639;49.002389;3.4;L;11
vegetacni_snimek;393219;16.344783;49.003025;2.8;L;5
vegetacni_snimek;389539;16.341889;49.005444;6.222222;L;20
vegetacni_snimek;389507;16.364889;49.011722;6.735294;L;37
vegetacni_snimek;389424;16.363472;49.011917;5.133333;L;15
vegetacni_snimek;389425;16.365667;49.012306;6.340426;L;51
vegetacni_snimek;389535;16.377639;49.077444;4.6;L;15
vegetacni_snimek;389532;16.386972;49.077556;5.9;L;21
vegetacni_snimek;389484;16.378417;49.077611;5.416667;L;27
vegetacni_snimek;389534;16.380167;49.077694;6.647059;L;39
vegetacni_snimek;389457;16.381694;49.079111;5.558824;L;35
vegetacni_snimek;389456;16.386889;49.081306;6.914286;L;38
vegetacni_snimek;383197;17.186111;49.081389;6.369565;L;53
vegetacni_snimek;326346;16.388889;49.081944;6.2;L;32
vegetacni_snimek;389455;16.384472;49.082611;5.083333;L;13
vegetacni_snimek;383124;17.208333;49.085556;5.942857;L;42
vegetacni_snimek;383123;17.208333;49.086111;4.888889;L;15
vegetacni_snimek;383192;17.204167;49.086667;5.857143;L;36
vegetacni_snimek;383122;17.206944;49.0875;5.909091;L;23
vegetacni_snimek;389524;16.400278;49.091333;5.628571;L;39
vegetacni_snimek;314431;16.464167;49.135278;5.958333;L;24
vegetacni_snimek;384523;16.456389;49.149444;6.15;L;20
vegetacni_snimek;314408;16.451944;49.150556;6.027778;L;39
vegetacni_snimek;314482;16.454972;49.151194;6.111111;L;57
vegetacni_snimek;319435;16.923667;49.156306;6.847826;T;52
vegetacni_snimek;319434;16.924583;49.156806;7.2;T;47
vegetacni_snimek;314428;16.424722;49.172222;5.75;L;26
vegetacni_snimek;384377;16.348333;49.203333;6.625;L;9
vegetacni_snimek;290000;16.754722;49.236944;6.242424;L;33
vegetacni_snimek;386746;16.735278;49.286833;6.394737;L;38
vegetacni_snimek;386792;16.738472;49.289972;6.033333;L;31
vegetacni_snimek;289853;16.686111;49.306389;6.441176;L;38
vegetacni_snimek;289852;16.686667;49.306667;6.366667;L;34
